NoRaw	Source	Cause	Ru_verb	Ru_yes_no	Ru_Class	Ru_PP	Ru_N	Russian	Br_yes_no	Br_Class	Br_PP	Br_NP	Belarusian	Uk_yes_no	Uk_Class	Uk_PP	Uk_NP	Ukrainian	Pl_yes_no	Pl_Class	Pl_PP	Pl_NP	Polish	Cz_yes_no	Cz_Class	Cz_PP	Cz_NP	Czech	Sk_yes_no	Sk_Class	Sk_PP	Sk_NP	Slovak	Sl_yes_no	Sl_Class	Sl_PP	Sl_NP	Slovene	Cr_yes_no	Cr_Class	Cr_PP	Cr_NP	Croatian	Sr_yes_no	Sr_Class	Sr_PP	Sr_NP	Serbian	MK_yes_no	Mk_Class	Mk_PP	Mk_NP	Macedonian	Bg_yes_no	Bg_Class	Bg_PP	Bg_NP	Bulgarian	Total	Russian2	Ukrainian2	Polish2	Serbian2	German	Upper Sorbian	Slovak2	Croatian2
374	sueskindparfuem	д	изучить	1	?	благодаря	применение	30648 Но благодаря обязательному применению мензурок и весов он изучил язык парфюмерии и инстинктивно чувствовал , что знание этого языка могло ему пригодиться .	1	?	дзякуючы	карыстанню	Але дзякуючы абавязковаму карыстанню мензуркамi i вагамi , ён вывучыў мову парфюмерыi i iнстынктыўна адчуваў , што веданне гэтай мовы магло яму спатiрэбiцца . .	1	?	завдяки	застосуванню	Та завдяки обов'язковому застосуванню мензурок та терезів він вивчив мову парфюмерії , інстинктивно відчуваючи , що знання цієї мови може стати йому в пригоді .	1	?	wskutek	przymusowego posługiwania	Ale wskutek przymusowego posługiwania się menzurką i wagą nauczył się języka perfumerii , a czuł instynktownie , że znajomość tego języka może być dla ń użyteczna .	1	?	INS	tím	Ale naučil se povinnému zacházení s odměrkou a s váhou, a tím si osvojil jazyk parfumerie a instinktivně vycítil, že mu znalost tohoto jazyka může být prospěšná.	0	?	\		Povinné používanie odmerky a váhy ho naučilo parfumérskej reči a inštinktívne cítil, že jej znalosť mu môže byť na úžitok.	1	?	sINS	uporabo	Toda z obvezno uporabo merilnih vrčev in tehtnice se je naučil parfumarskega jezika in nagonsko je slutil, da mu znanje tega jezika lahko koristi.	1	?	INS	primjenom 	No obveznom primjenom mjerice i vage naučio je jezik parfimerije i nagonski osjetio da mu znanje toga jezika može koristiti.	1	?	INS	korišćenjem	Ali je obaveznim korišćenjem posude za merenje i vage naučio jezik parfimerstva i instinktivno je osetio da bi poznavanje ovog jezika moglo da mu bude korisno.	1	?	со	задолжителната примена	Но со задолжителната примена на мензурата и вагата го научи јазикот на парфимерството и инстинктивно чувствуваше дека познавањето на тој јазик може да му користи.	1	?	чрез	употреба	Ала чрез задължителната употреба на мензура и везни той изучи езика на парфюмерията и инстинктивно почувствува, че знанието на този език ще му е от полза.	10								
375	sueskindparfuem	д	превращаться	1	?	благодаря	процесс	45477 и потому же , когда старость согнет их и снова склонит к земле , они неизбежно попадают под влияние летального газа , в который благодаря процессу разложения в конце концов сами и превращаются после своей смерти .	1	?	дзякуючы	працэсу 	пшанiца -- колас , кветка -- бутон , чалавек -- галаву ; да таго ж калi старасць сагне iх i зноў нахiлiць да зямлi , яны непазбежна падупадаюць уплыву летальнага газу , у якi дзякуючы працэсу распаду ўрэшце самыя i пепратвараюцца пасля смерцi .	0	?	0		злакові - колос , квітка - бутон , людина - голову ; і тому , коли старість зігне їх і знову схилить до землі , вони неминуче потрапляють під вплив летального газу , в який , зрештою , й самі перетворюються в процесі розпаду після смерті 	1	?	w wyniku	procesów gnilnych 	zboże - kłosy , roślina - kwiaty , człowiek - głowę ; i dlatego też , kiedy wiek je przytłoczy i znowu pochyli ku ziemi , muszą nieodwołalnie ulec działaniu gazu letalnego , w który po śmierci w wyniku procesów gnilnych same się zamieniają .	1	?	INS	procesem	a proto, když je stáří sehne a opět skloní k Zemi, musejí neodvratně propadnout letálnímu plynu, v nějž se také nakonec sami promění procesem rozkladu po své smrti.	1	?	INS	rozkladným procesom	Preto sa vraj všetky živé bytosti usilujú rastom čoraz väčšmi vzďaľovať od zeme, rastú teda od nej a vôbec nie do nej, preto vraj vytŕčajú svoje najvzácnejšie časti hore k nebu : zrno klas, rastlina kvet, človek hlavu, a keď ich staroba ohne, krivia sa opäť dolu k zemi, neodvratne sa musia stať obeťou letálneho plynu a po svojej smrti sa napokon rozkladným procesom sami premenia na letálny plyn.	1	?	v		Za to si tudi vse, kar je živega, prizadeva, da se z rastjo od Zemlje oddaljuje, raste torej proč od nje in ne vanjo ; zato svoje najbolj dragocene dele nosi proti nebu : žito svoje klasje, rože svoje cvetove, človek svojo glavo ; in zato tudi morajo, ko jih starost upogne ter so se prisiljeni spet sklanjati k Zemlji, nujno podleči temu smrtonosnemu plinu, v katerega se v procesu razpadanja po svoji smrti spremenijo končno tudi sami.	1	?	zbog	procesa	Stoga se sva živa bića nastoje rastom udaljiti od zemlje, to jest, nastoje je što više nadrasti, a ne u nju urasti ; stoga su njihovi najdragocjeniji dijelovi usmjereni prema nebu — klas kod žitarica, cvat kod cvijeća, glava kod čovjeka — pa moraju neizbježno, kad se od starosti pogrbe i ponovno saviju prema zemlji, podleći letalnom plinu u koji se nakon smrti i sami naposljetku pretvaraju zbog procesa raspadanja.	1	?	INS	procesom	žito svoj klas, cvet svoju cvast, a čovek glavu ; i zato moraju, isto tako, kada ih starost savije i opet približi zemlji da neizbežno postanu žrtva letalnog gasa u koji se procesom raspadanja nakon svoje smrti i sami napokon pretvaraju.	1	?	низ	процесот	житарките со своето класје, цвеќето со своите цветови, човекот со својата глава ; и токму затоа, исто така, неизбежно мораат, кога староста ќе ги свене и повторно ќе ги приближи до земјата, да станат жртва на леталниот гас во кој и самите се претвораат низ процесот на распаѓање, на крајот, по својата смрт.	1	?	поради	процеса	зърното — класа си, цветето — цвета си, човекът — главата ; а когато възрастта ги привеждала и ги пребивала към земята, те неизбежно ставали жертва на смъртоносния газ, в какъвто се превръщали след смъртта си самите те поради процеса на разложение.	10								
376	sueskindparfuem	д	имитировать	1	?	благодаря	гений	50109 С помощью самых ничтожных средств он благодаря своему собственному гению имитировал запах человека и сразу же добился такой точности попадания , что даже ребенок дал себя обмануть .	1	?	дзякуючы	генiю	З дапамогаю самых мiзэрных сродкаў ён дзякуючы свайму генiю iмiтаваў пах чалавека i адразу дабiўся такога дакладнага пацэлу , што нават дзiця далося на падман .	1	?	завдяки	своїй геніальності	З допомогою найнікчемніших засобів , завдяки своїй геніальності , він зімітував людський запах й одразу ж так точно , що навіть дитина нічого не помітила .	1	?	dzięki	swemu geniuszowi	Najskromniejszymi środkami , dzięki swemu geniuszowi , potrafił stworzyć imitację zapachu człowieka i od pierwszego razu udało mu się to tak dobrze , że nawet dziecko dało się oszukać .	1	?	díky	géniu	S nejnepatrnějšími pomocnými prostředky díky vlastnímu géniu napodobil pach člověka a hned napoprvé jej vystihl tak dobře, že se jím dalo oklamat dokonce i dítě.	1	?	vďaka	géniu	Vďaka svojmu géniu sa mu podarilo najjednoduchšími pomôckami znovu stvoriť vôňu ľudí a hneď na prvý raz mu vyšla tak dobre, že pomýlil aj dieťa.	0	?	\		Le svoji genialnosti se je lahko zahvalil, da je mogel z najbolj skromnimi sredstvi ponarediti človeški vonj in da ga je takoj zadel tako dobro, da je z njim lahko prevaral celo otroka.	1	?	zahvaljujući	genijalnosti	Najoskudnijim sredstvima stvorio je, zahvaljujući svojoj genijalnosti, miris čovjeka i pogodio ga odmah, već u prvom pokušaju, tako da je i dijete mogao obmanuti.	1	?	zahvaljujući	geniju	Uz najnužnija sredstva on je, zahvaljujući svom geniju kopirao miris ljudi i odmah ga pogodio tako dobro da je zavarao čak i dete.	1	?	благодарение на	генијалност	Со најмалку средства, благодарение на сопствената генијалност, тој направи копија на мирисот на луѓето и тоа од прва рака и толку добра што успеа да измами дури и едно дете.	1	?	благодарение на	гений	Благодарение на своя гений, с минимум средства, бе успял да възпроизведе парфюм с дъх на човек и от пръв поглед да сполучи така, че да заблуди дори едно дете.	10								
377	sueskindparfuem	д	быть грязным	1	?	благодаря	количество	53351 Город был невероятно грязным , несмотря или скорее благодаря большому количеству воды , которая струилась из дюжины источников и фонтанов , ворковала в неухоженных ручьях и сточных канавах и подмывала или наводняла илом переулки .	1	?	дзякуючы	вадзе	Горад быў неверагодна брудны , нягледзячы на , а , можа нават , дзякуючы вадзе , якое тут было пропадзь , яна струменiлася з тузiна крынiц i фантанаў , булькатала ў недагледжаных ручаях i канавах i падмывала , i заглейвала завулкi .	1	?	через	безліч струмків 	Воно було неймовірно брудне через безліч струмків , що текли в занедбаних рівчаках та канавах , підмиваючи вулиці та провулки й заливаючи їх мулом .	1	?	wskutek	obfitości wody	Było niewiarygodnie brudne , pomimo albo może wskutek obfitości wody , bijącej z dziesiątków źródeł i fontann , szemrzącej ni uregulowanymi strumykami i ściekami w dół miasta , podmywającej zaułki albo zalewającej je szlamem .	1	?	pro	spoustu	Bylo neuvěřitelně špinavé, navzdory anebo snad spíše právě pro spoustu vody, která zurčela z desítek pramenů a kašen v nepravidelných potůčcích a stružkách městem dolů a podminovávala ulice anebo je zaplavovala bahnem.	0	?	\		Bolo neuveriteľne špinavé, napriek tomu, alebo azda práve preto, že z nespočetných prameňov a studní vyvieralo množstvo vody, v neregulovaných potokoch a strúžikoch žblnkotalo dolu mestom a podmývalo ulice alebo ich zaplavovalo bahnom.	1	?	zaradi	veliko vode	Kljub ali pa prav zaradi veliko vode, ki je vrela iz ducat izvirov in studencev, brbotala v številnih neurejenih potočkih vzdolž mesta, izpodkopavala uličice ali pa jih preplavljala z blatom, je bilo neverjetno umazano.	1	?	zbog	nje	Bijaše nevjerojatno prljav, usprkos velikoj količini vode ili možda baš zbog nje, vode što je izvirala iz tuceta vrela i zdenaca, klokotala u neobuzdanim potocima i potočićima niz grad, potkopavala ulice ili ih plavila muljem.	1	?	zbog	mnogo vode	Ovaj je bio neverovatno prljav, uprkos lli možda upravo zbog mnogo vode koja je izvirala iz desetina izvora i česmi, žuborila u neuređenim potocima i koritima i podlokavala uličice ili ih plavila blatom.	0	?	\		Тој беше неверојатно нечист и покрај тоа или можеби токму поради тоа што имаше многу вода која извираше од дузина извори и чешми, жубореше во неуредените потоци и јазови и ги поткопуваше улиците или ги преплавуваше со кал.	1	?	поради	количество	Грас бе невероятно мръсен въпреки или тъкмо поради голямото количество вода, която шуртеше от десетки извори и кладенци, гърголеше безразборно във вади и канавки по надолнището, подкопаваше улиците или пък ги заливаше с кал.	9								
378	sueskindparfuem	д	сопровождать	1	?	благодаря	свой нос	56976 Исправней , чем когда - либо мог это сделать Дрюо , благодаря своему носу , Гренуй сопровождал и охранял передвижение ароматов от цветочных лепестков через жир и спирт в драгоценные маленькие флаконы .	1	?	дзякуючы	носу 	Спраўней , чым калi - небудзь мог зрабiць гэта Друо , дзякуючы свайму носу , Грануй вёў i ахоўваў рух пахаў ад пялёсткаў праз тлушч i спiрт у каштоўныя маленькiя флаконы .	0	?	0		Точніше , ніж Дрюо , Гренуй своїм носом пильно простежував мандрівку аромату від пелюсток квітів крізь жир та спирт аж до гарненьких мініатюрних пляшечок .	0	?	0		Dokładniej niż Druot , mianowicie węchem , śledził i kontrolował wędrówkę zapachu od płatków przez tłuszcz i alkohol aż do cennych małych flakoników .	1	?	INS	nosem	Přesněji, než by to byl kdy dokázal Druot, totiž svým nosem, sledoval a bděl nad poutí vůně lístků květů přes tuk a alkohol až do rozkošných malých flakónků.	1	?	INS	nosom	Druot by nikdy nebol býval schopný tak precízne ako Grenouille, totiž nosom, sledovať a kontrolovať putovanie vôní z lupeňov kvetov cez tuk a alkohol až do skvostných malých flakónov.	1	?	sINS		Bolj natančno, kakor bi to zmogel Druot, s svojim nosom namreč, je spremljal in nadzoroval potovanje vonjev od cvetnih lističev prek masti in alkohola vse do majhnih stekleničk.	1	?	INS	njuhom	S točnošću, kakvu Druot nikada ne bi postigao, to jest njuhom, Grenouille je pratio i nadzirao putovanje mirisa od cvjetnih latica preko masti i alkohola do skupocjenih malih flakona.	1	?	INS	nosem	Preciznije nego što je to Drio ikad umeo svojim nosem, Grenuj je pratio i nadzirao seobu mirisa od listova cveća preko masti i alkohola sve do ljupkih malih bočica.	1	?	со		Попрецизно отколку Дрио, со својот нос, Гренуј го следеше и надгледуваше патот на мирисите од ливчињата на цветовите, преку маста и алкохолот до малите скапоцени шишенца.	1	?	с	носа	По-прецизно и от самия Дрюо — а именно с носа си — Грьонуй следеше и контролираше зорко пътя на уханията от цветните листенца, през мазнината и спирта, до скъпоценните флакон - чета.	9								
379	sueskindparfuem	д	удаться	1	?	благодаря	сила	59021 То , что тогда из - за применения грубого метода дистилляции окончилось жалкой неудачей , теперь удалось благодаря мощной абсорбирующей силе жира .	1	?	дзякуючы	сiле 	Тое , што тады ад ужывання грубага матаду дыстыляцыi закончылася поўнай няўдачай , цяпер удалося дзякуючы абсарбiяльнай сiле тлушчу .	1	?	завдяки	силі 	Те , чого тоді він не зміг досягти з допомогою дистиляції , вдалося тепер завдяки потужній абсорба - ційній силі жиру .	1	?	dzięki	właściwościom	To , co wtedy , przy użyciu prymitywnej procedury destylacji zakończyło się sromotną klęską , udało się teraz dzięki silnie absorpcyjnym właściwościom tłuszczu .	1	?	díky	síle	To, co tenkrát s pomocí hrubého destilačního postupu bědně ztroskotalo, se teď dařilo díky silně absorbující síle tuků.	1	?	vďaka	mocnej absorbčnej sile	Čo vtedy za pomoci primitívneho procesu destilácie žalostne stroskotalo, darilo sa teraz vďaka mocnej absorbčnej sile tukov.	1	?	zaradi	moči	Kar se takrat z grobo destilacijo na žalost ni posrečilo, je zdaj zaradi močne vpijajoče moči maščobe uspelo.	1	?	zbog	moći	Ono što mu nekada nikako nije polazilo za rukom grubim postupkom destilacije, uspjelo mu je sada zbog jake apsorpcijske moći masti.	1	?	zahvaljujući	snazi	Ono što je onda uz pomoć grubog postupka destilacije doživelo žalostan neuspeh, uspelo je sada zahvaljujući jakoj apsorpcionoj snazi masti.	1	?	благодарение на	сила	Она што тогаш со помош на грубата постапка на дестилација немаше никаков резултат, сега го постигна благодарение на големата апсорбирачка сила на маста.	1	?	благодарение на	абсорбиращата	Това, което някога жалко бе пропаднало с помощта на грубия дестилационен метод, сега се удаде благодарение на абсорбиращата сила на мазнините, Грьонуй наложи за няколко дни една месингова топка за врата с говежда лой, тъй като хладно - плесенното и застояло ухание му се нравеше.	11								
380	sueskindparfuem	д	любить	1	?	благодаря	он	61138 Лежа ночью в своей хижине , он еще раз извлек ее аромат из воспоминания - не смог противостоять искушению - и погрузился в него , он ласкал его и позволял ему ласкать себя , он ощущал его совсем рядом , так близко , словно во сне , словно он уже действительно обладал им , своим ароматом , своим собственным ароматом , и , пока длилось это опьяняюще - дивное мгновение , он любил его в себе и себя благодаря ему .	1	?	дзякуючы	яму	"Лежачы ўначы ў сваiм хляве , ён яшчэ раз дастаў яе пах з успамiну -- не змог усупрацiвiцца спакусе -- i апусцiўся ў яго , ён песцiў яго i дазваляў яму лашчыць сябе , ён адчуваў яго зусiм побач , так блiзка , быццам у сне , быццам ён ужо сапраўды валодаў iм , сваi водарам , сваiм уласным водарам , i , пакукль доўжылася гэтае дзiвосна - п "" янкое iмгненне , ён любiў яго ў сабе i сябе дзякуючы яму ."	1	?	завдяки	йому	Вночі , лежачи у своїй халупі , Гренуй ще раз відродив у пам'яті цей аромат - не в змозі протистояти спокусі - й занурився в нього , пестячи його і дозволяючи йому пестити себе так інтимно , так захоплююче , ніби володів ним уже насправді ,- своїм ароматом , своїм власним запахом , і він любив його на собі і себе любив завдяки йому в ту п'янку , солодку мить .	1	?	poprzez	ten zapach	Leżąc nocą w szopie raz jeszcze przywołał w myślach ten zapach - pokusa była zbyt silna - i pogrążył się w nim , pieścił go i czuł jego pieszczotę , tak blisko , tak cudownie blisko , jak gdyby naprawdę już go posiadł , jak gdyby miał zapach , własny zapach , i przez dłuższą chwilę , cudowną , upojną chwilę kochał ten zapach w sobie i kochał siebie poprzez ten zapach .	1	?	pro	ni	Když potom v noci ležel ve své chatrči, vyvolal si ještě jednou ze vzpomínky onu vůni - nedokázal odolat pokusení - a pohroužil se do ní, laskal se s ní a dal se od ní laskat, tak blízce, tak snově blízko, jako by ji už opravdu vlastnil, svou vůni, svou vlastní vůni a miloval ji samu o sobě a sebe pro ni po dlouhou omamnou vzácnou chvíli.	0	?	\		Keď v noci ležal vo svojej chajcle, podľahol pokušeniu a privolal si túto vôňu ešte raz do spomienok, vnoril sa do nej, láskal ju a sám sa dal ňou láskať tak dôverne, tak snovo blízko, akoby ju už skutočne vlastnil, túto vôňu, svoju vlastnú vôňu, v omamné skvostnej chvíli ju miloval na sebe a seba v nej.	1	?	zaradi	njega	Ko je ponoči ležal v uti, si je vonj še enkrat priklical iz spomina — skušnjavi se ni mogel upreti — in potopil se je vanj, ga ljubkoval in mu pustil, da tudi on ljubkuje njega, tako tesno, tako sanjsko blizu, kakor da bi ga resnično že imel, kakor da bi imel svoj vonj, svoj lastni vonj, in nekaj obrambnih, dragocenih trenutkov ga je ljubil, in ljubil je tudi sebe zaradi njega.	1	?	kroz	njega	Te noći, ležeći u kolibici, dozvao je još jednom miomiris u sjećanje — nije mogao odoljeti iskušenju — utonuo u njega, milovao ga i dao se od njega milovati, tijesno se pripio uz njega, čudesno prisno, kao da ga već posjeduje, svoj miris, osobni miris, i ljubio ga na sebi i sebe kroz njega u dugim, slatkim trenucima opojenosti.	1	?	kroz	njega	Noću, dok je ležao u kolibi, još jednom se priseti tog mirisa - nije mogao da odoli iskušenju - i uroni u njega, milujući ga i dozvoljavajući da i ovaj njega miluje, tako blisko, kao u snu, kao da ga već poseduje, svoj miris, svoj vlastiti miris i voleo ga je na sebi i sebe kroz njega i sve je to trajalo nekoliko opojnih trenutaka.	1	?	низ	него	Ноќта, кога лежеше во својата колиба, го побара мирисот уште еднаш во своето сеќавање - не можеше да му одолее на искушението - и потона во него, го милуваше и му дозволи тој да го милува, одблизу, како во сон, како веќе да го поседува, неговиот мирис, неговиот сопствен мирис и неколку скапоцени опојни мигови го сакаше на себе и низ него се сакаше себеси.	1	?	чрез	него	Както си лежеше през нощта в колибата, извика още веднъж спомена за уханието — не можа да устои на изкушението, — гмурна се в него, взе да го гали и се остави и то да го гали, тъй интимно, тъй приказно близко, сякаш вече го притежаваше — неговото ухание, неговото собствено ухание, — и за няколко прекрасни упоителни мига го обикна, обикна него, а чрез него — и себе си.	10								
381	sueskindparfuem	д	совершаться	1	?	благодаря	он	70017 И даже если он не совершал этого сам , оно совершалось благодаря ему .	1	?	дзякуючы	яму	I нават калi ён не рабiў гэтага сам , яно тварылася дзякуючы яму .	1	?	завдяки	йому	І відбувалось воно завдяки йому .	1	?	za sprawą	jego 	I chociaż nie on sam tego dokonywał , to jednak dokonywało się to za jego sprawą.	1	?	prostřednictvím	jeho	A i když to nevykonával sám, tak se to konalo jeho prostřednictvím.	1	?	skrz	neho	A aj keď to nevykonával sám, vykonávalo sa to skrze neho.	1	?	skozi	=nj	In čeprav tega ni počel sam, se je vendarle dogajalo skozenj.	1	?	posredovanjem	njegovim	I premda sam nije bio aktivan, radnja se zbivala njegovim posredovanjem.	1	?	kroz	njega	I mada to nije radio on sam, ono se ipak radilo kroz njega.	1	?	низ	него	И покрај тоа што тој не правеше ништо, тоа се правеше низ него.	1	?	чрез	него	И ако не го вършеше сам той, все пак се вършеше чрез него.	11								
382	sueskindparfuem	д	предстать	1	?	благодаря	духи	79968 И пусть перед всем миром благодаря своим духам он предстанет хоть Богом - раз сам он не может пахнуть и потому никогда так и не узнает , кто он такой , то плевать ему на это :	1	?	праз	парфумы 	I хай сабе перад усiм светам праз свае парфумы ён паўстане хоць Богам -- раз ён сам не можа пахнуць i таму нiколi так i не даведаецца , якi ж ён есць сам , дык пляваць яму на гэта :	1	?	завдяки	своїм парфумам	"Тільки одного не могла дати ця влада - людського запаху . Хай навіть перед цілим світом він, завдяки своїм парфумам, явиться Богом,
"	0	?	0		nie pozwalała mu poczuć samego siebie .	1	?	INS	parfémem	A i kdyby se mohl světu tím parfémem jevit jako Bůh - když sám sebe nemůže cítit, a proto nikdy nebude vědět, kdo je, tak na to kašle, na svět, na sebe samého, na svůj parfém.	1	?	skrz	svoj parfum	A nech by sa pred svetom javil skrze svoj parfum ako Boh - ak sám seba nemôže voňať, a preto sa nikdy nedozvedieť, kto je, tak na to kašle, kašle na svet, sám na seba a na svoj parfum.	1	?	sINS	parfumom	In čeprav je s svojim parfumom lahko pred vsem svetom nastopal kot Bog — se je na vse to požvižgal, če ni mogel vohati samega sebe, zato nikoli ni mogel vedeti, kdo je, požvižgal se je na ves svet, na samega sebe, na svoj parfum.	0	?	0		nije mu omogućavala da osjeti vlastiti miris.	1	?	zahvaljujući	parfemu	da on oseti vlastiti miris. I bez obzira što bi zahvaljujući svom parfemu izgledao svetu kao Bog - ako on samog sebe nije mogao da namiriše i tako nikad ne sazna ko je, onda mu nije ni najmanje bilo stalo ni do sveta, ni do samog sebe, ni do svog parfema.	0	?	0		да му овозможи да го помириса својот мирис.	1	?	чрез	парфюм	да го дари със собствен мирис. И макар чрез своя парфюм да се явяваше пред света като Господ, щом като сам не може да се помирише и затова никога няма да узнае кой е в действителност, той плюеше на властта, на света, на самия себе си, на парфюма си.	8								
383	sueskindparfuem	д	оказывать воздействие	1	?	вследствие	происхождение	47463 То обстятельство , что именно аромат фиалки , в общем - то приятного цветка , так ему невыносим , он может объяснить тем , что духи маркиза содержат высокий процент фиалкового корня , а тот вследствие своего подземного происхождения оказывает вредное воздействие на такую подверженную летальному флюиду особу , как он , Гренуй .	1	?	з прычыны	паходжання 	Тое , што менавiта пах фiялкi , увогуле прыемнай кветкi , яму такi нясцерпны , ён можа растлумачыць тым , што ў духах маркiза высокi працэнт фiялкавага кораня , а той з прычыны свайго паджземнага паходжання робiць шкоднае ўздзеянне на такую падупалую смяротнаму флюiду асобу , як ён , Грануй .	1	?	внаслідок	свого підземного походження	Те , що саме аромат фіалок , загалом приємної квітки , йому аж так дошкуляє , він може пояснити тільки тим , що парфуми маркіза містять в собі великий процент фіалкового коріння , який унаслідок свого підземного походження особливо негативно впливає на таку летально - флюїдально заражену особу , як він , Гренуй .	1	?	z racji	swego podziemnego pochodzenia 	Okoliczność , że działa na niego tak silnie woń fiołków , skądinąd sympatycznych kwiatków , może wytłumaczyć sobie tylko w ten sposób , że perfumy markiza zawierają sporą dozę ekstraktu korzenia fiołkowego , który z racji swego podziemnego pochodzenia ma fatalny wpływ na kogoś , kto jak Grenouille dotknięty został niszczącym działaniem fluidu letalnego .	1	?	pro	původ	Že právě vůně fialky, jinak samo o sobě něžného kvítka, ho tak silně odpuzuje, si dovede vysvětlit jenom tím, že parfém markýzův obsahuje vysoký podíl výtažku z kořene fialky, který pro svůj podzemní původ působí zhoubně na letálně fluidálně napadenou osobu, jako je Grenouille.	1	?	INS	pôvodom	Že mu tak velmi uškodila akurát vôňa fialky, kvetiny ako takej veľmi ľúbeznej, vie si vraj vysvetliť iba tým, že v markízovom parfume je wsoké percento extraktu fialkového koreňa, ktorý svojím podzemným pôvodom zhubne pôsobí na osobu už aj tak letálne fluidálne napadnutú ako on, Grenouille.	0	?	\		To, da prav vonj po vijolici, ki je vonj sicer kar ljubke rožice, tako močno vpliva nanj, pa se je najbrž zgodilo zato, ker vsebuje markizov parfum previsok odstotek vijoličnega koreninskega ekstratka, ki uničujoče vpliva na osebo podzemeljskega izvora, zastrupljeno s smrtonosnim plinom, kakršna je on, Grenouille.	1	?	zbog	porijekla	Činjenicu da mu je baš miris ljubice, inače dražesna cvijeta, tako smetao, može objasniti samo time što u markizovu parfemu ima previše ekstrakta korijena ljubice koji, zbog svojega podzemnog porijekla, pogubno djeluje na osobu poput njega, Grenouillea, zatrovana letalnim fluidom.	1	?	zbog	porekla	To što mu sada naročito smeta miris ljubiČice, jednog po sebi ljupkog cveta, on može da objasni jedino time što markizov parfem poseduje veliki udeo ekstrakta od korena ljubičice koji zbog svog podzemnog porekla kobno deluje na osobu zaraženu letalnim fluidom kao što je on, Grenuj.	1	?	поради	потекло	Тоа што токму мирисот на темјанушка, инаку едно толку убаво цвеќенце, особено му пречи, би можел да го објасни со фактот дека парфемот на маркизот содржи многу голема доза на екстракт од корен на темјанушка кој поради неговото подземно потекло дејствува разорно врз една личност, оштетена од убиствениот флуид, како него, Гренуј.	1	?	поради	произход	Че точно дъхът на виолетки — едно само по себе си нежно цвете — го преследвал натрапливо, можел да си обясни само с факта, че парфюмът на маркиза бил приготвен с по-високо съдържание на екстракт от корените му, който поради подземния си произход действувал пагубно на лица като него, Грьонуй, засегнат от леталния флуид.	10								
384	sueskindparfuem	д	приостановить	1	?	ввиду	расходы	45289 Однако ему пришлось приостановить опыты ввиду огромных расходов на бычье семя , которое гектолитрами разбрызгивалось по полям .	1	?	з прычыны	падскоку 	Аднак яму давялося прыпынiць доследы з прычыны падскоку цэнаў на бычынае семя , якое гекталiтрамi распырсквалi па палетках .	1	?	у зв'язку з	величезними затратами	Проте йому довелося припинити досліди у зв'язку з величезними затратами на бугаєве сім'я , яке гектолітрами розбризкувалося на полях .	1	?	z powodu	ogromnych kosztów 	markiz zmuszony był zaprzestać doświadczeń z powodu ogromnych kosztów związanych z rozpylaniem hektolitrów byczej spermy na pola .	1	?	kvůli	nákladům	Po počátečních úspěších, které mu dokonce umožnily vyrobit jakýsi sýr z travního mléka, který označila vědecká akademie v Lyonu jako sýr s kozí příchutí, i když poněkud hořčí, musel zastavit své pokusy kvůli obrovským nákladům na býčí semeno rozstřikované v hektolitrech po polích.	1	?	pre	náklady 	"Po prvých úspechoch, ktoré mu dokonca umožnili vyrobiť syr z trávoveho mlieka označeného akadémiou vied v Lyone za „ syr kozľacej chuti, aj keď trochu menej trpkej "", musel s pokusmi prestať pre obrovské náklady na býčie semeno rozIk vané v hektolitroch po poliach."	1	?	zaradi	stroškov	Po začetnih uspehih, s katerimi se mu je posrečilo proizvesti celo sir iz travnega mleka, za katerega si je bila vsa akademija znanosti v Lyonu edina, da je » kot kozje, čeprav malce bolj grenko «, je moral opustiti svoje poskuse zaradi neznanskih stroškov, ki so nastajali, ko so cele hektolitre bikovega semena škropili po poljih.	1	?	zbog	troškova 	"Početni uspjesi omogućili su mu čak proizvodnju sira iz travnog mlijeka, koji je Znanstvena akademija u Lyonu opisala kao sir "" kozjeg okusa, premda pomalo gorak "", ali je tada morao prekinuti pokuse zbog golemih troškova za prskanje polja hektolitarskim količinama bikova sjemena."	1	?	zbog	troškova	morao je da obustavi svoje oglede zbog enormnih troškova bikovog semena što ga je na hektolitre izlivao po poljima.	1	?	поради	трошоци	"По почетните успеси кои му овозможија дури и да направи сирење од тревно млеко, кое Научната академија во ЈТион оцени „ дека има вкус на козјо сирење и е по малку горчливо "", тој мораше да ги прекине понатамошните експериментирања поради енормните трошоци сврзани со набавката на биково семе кое требаше со хектолитри да се расфрла по полињата."	1	?	поради	разходи	След първоначалните сполуки, благодарение на които дори започна производство на сирене от тревно мляко, окачествено от Лионската академия на науките като сирене „ с кози вкус, но малко по-горчиво “, той трябваше да преустанови опитите си поради огромните разходи, свързани с разпръскването на хектолитри семе от бик по полята.	11								
